stage_name,artifact_name,expected_path,exists,file_size_bytes,row_count,sha256,created_or_modified_time,source_file,can_regenerate,backup_required,backup_path,status,remark
GB50854_2024_stageB_docx_full,bill_item_reference_all_candidate.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GB50854_2024_stageB_docx_full/bill_item_reference_all_candidate.csv,true,658201,472,46a7a6554536982a165e5f6294e53593bcb9218568c9b98798783a0cc8e3d737,2026-07-05T20:23:36,房屋建筑与装饰工程工程量计算标准 GB_T 50854-2024.docx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_docx,private artifact; not tracked by Git; row_count and sha256 recorded
GB50854_2024_stageB_docx_full,bill_context_rules_all.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GB50854_2024_stageB_docx_full/bill_context_rules_all.csv,true,110750,161,5ece594342f5ff7b3557f5504b923a0faddb36d38559167f703a95b788ed1f2e,2026-07-05T20:23:36,房屋建筑与装饰工程工程量计算标准 GB_T 50854-2024.docx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_docx,private artifact; not tracked by Git; row_count and sha256 recorded
GB50854_2024_stageB_docx_full,bill_extraction_issues_all.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GB50854_2024_stageB_docx_full/bill_extraction_issues_all.csv,true,7797,33,fb2e5571021c07ff60e7461e0c8987abfcfab2cfff9a2106a887399f97d92418,2026-07-05T20:23:36,房屋建筑与装饰工程工程量计算标准 GB_T 50854-2024.docx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_docx,private artifact; not tracked by Git; row_count and sha256 recorded
GB50854_2024_stageB_docx_full,bill_appendix_registry_all.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GB50854_2024_stageB_docx_full/bill_appendix_registry_all.csv,true,84802,192,113fd725062f634a8b04f3bbf7567e65a975ab2edc53a37a5aacd4f5929c619f,2026-07-05T20:23:36,房屋建筑与装饰工程工程量计算标准 GB_T 50854-2024.docx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_docx,private artifact; not tracked by Git; row_count and sha256 recorded
GB50854_2024_stageB_docx_full,stageB_docx_full_report.md,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GB50854_2024_stageB_docx_full/stageB_docx_full_report.md,true,5436,,0d363624a4546e3f606d8ea1dddfea7761903431169367ed1e34bf1674d51bf1,2026-07-05T20:23:36,房屋建筑与装饰工程工程量计算标准 GB_T 50854-2024.docx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_docx,private artifact; not tracked by Git; row_count and sha256 recorded
GD2018_stage2R_A111_full,excel_contract_profile_GD2018_normalized.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GD2018_stage2R_A111_full/excel_contract_profile_GD2018_normalized.csv,true,4553,9,ac0ee373f3f84a79d25c5225150b6581b3836068ae536ccb14e42b72b3665507,2026-07-05T21:31:34,广东省房屋建筑与装饰工程综合定额2018_normalized.xlsx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_normalized_excel,private artifact; not tracked by Git; row_count and sha256 recorded
GD2018_stage2R_A111_full,standard_cost_item_reference_A111_candidate.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GD2018_stage2R_A111_full/standard_cost_item_reference_A111_candidate.csv,true,98012,143,08fc750728fc7255bfb2f22e1817d49126189af90b23418cea95733ba7c68264,2026-07-05T21:31:34,广东省房屋建筑与装饰工程综合定额2018_normalized.xlsx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_normalized_excel,private artifact; not tracked by Git; row_count and sha256 recorded
GD2018_stage2R_A111_full,reference_quota_pricing_snapshot_A111.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GD2018_stage2R_A111_full/reference_quota_pricing_snapshot_A111.csv,true,46899,143,fd61fcad2eb89e411870cb61ff376b0fb59a4627a93f87a5d6e31f5572012ed5,2026-07-05T21:31:34,广东省房屋建筑与装饰工程综合定额2018_normalized.xlsx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_normalized_excel,private artifact; not tracked by Git; row_count and sha256 recorded
GD2018_stage2R_A111_full,raw_reference_excel_rows_A111.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GD2018_stage2R_A111_full/raw_reference_excel_rows_A111.csv,true,63901,143,ec9191e235b49c348e9b7ee4ae86586862309c76bd25ee6f8c4e72b6a9de625e,2026-07-05T21:31:34,广东省房屋建筑与装饰工程综合定额2018_normalized.xlsx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_normalized_excel,private artifact; not tracked by Git; row_count and sha256 recorded
GD2018_stage2R_A111_full,gd2018_a111_extraction_issues.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GD2018_stage2R_A111_full/gd2018_a111_extraction_issues.csv,true,1983,9,bb82b3060388424ed102f3aee2ac2e01eb80c734c81433f0319ed6e51f2ba16e,2026-07-05T21:31:34,广东省房屋建筑与装饰工程综合定额2018_normalized.xlsx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_normalized_excel,private artifact; not tracked by Git; row_count and sha256 recorded
GD2018_stage2R_A111_full,stage_gd2018_a111_full_report.md,construction_cost_knowledge_engine/data/private/reference_extraction/runs/GD2018_stage2R_A111_full/stage_gd2018_a111_full_report.md,true,4230,,4bda6cd1deee62064b0c904f579ea7b21de901796c72e4f8abc2dd42a216f8ae,2026-07-05T21:31:34,广东省房屋建筑与装饰工程综合定额2018_normalized.xlsx,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_normalized_excel,private artifact; not tracked by Git; row_count and sha256 recorded
MAP_A111_quota_to_bill_trial,quota_to_bill_mapping_A111_candidate.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/MAP_A111_quota_to_bill_trial/quota_to_bill_mapping_A111_candidate.csv,true,119027,175,2ebf74c8ee92f6bf9f70c0cc9824699898846f0f4095eced841dae8eb25ae929,2026-07-05T21:32:44,GD2018 A111 + GB50854 Appendix A candidates,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_candidates,private artifact; not tracked by Git; row_count and sha256 recorded
MAP_A111_quota_to_bill_trial,quota_to_bill_mapping_A111_issues.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/MAP_A111_quota_to_bill_trial/quota_to_bill_mapping_A111_issues.csv,true,57383,253,a30db57b2b39dbe9df4dd8a4ea25da89f934741fe1ddbf7c779376c59751095f,2026-07-05T21:32:44,GD2018 A111 + GB50854 Appendix A candidates,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_candidates,private artifact; not tracked by Git; row_count and sha256 recorded
MAP_A111_quota_to_bill_trial,quota_reference_A111_input_snapshot.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/MAP_A111_quota_to_bill_trial/quota_reference_A111_input_snapshot.csv,true,24552,143,b2de62949b84aecb19f552ff3b353f12f4621d346a98889cc6bc668c6c78dcf6,2026-07-05T21:32:44,standard_cost_item_reference_A111_candidate.csv,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_candidates,private artifact; not tracked by Git; row_count and sha256 recorded
MAP_A111_quota_to_bill_trial,bill_reference_appendix_A_input_snapshot.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/MAP_A111_quota_to_bill_trial/bill_reference_appendix_A_input_snapshot.csv,true,4251,12,563a1b3392d2bd0cf19cde0a99e2bf676c36081b5b0eb28d5b06c119f2116fda,2026-07-05T21:32:44,bill_item_reference_all_candidate.csv,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_candidates,private artifact; not tracked by Git; row_count and sha256 recorded
MAP_A111_quota_to_bill_trial,stage_map_A111_report.md,construction_cost_knowledge_engine/data/private/reference_extraction/runs/MAP_A111_quota_to_bill_trial/stage_map_A111_report.md,true,4054,,178637d40a0e429f64290e3a6d3a07eb49f4d4d7f0bdc507f0de54dc89b14ca2,2026-07-05T21:32:44,GD2018 A111 + GB50854 Appendix A candidates,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_gd2018_normalized_rebuild,rebuilt_from_candidates,private artifact; not tracked by Git; row_count and sha256 recorded
MAP_A111_manual_QA_pack,manual_qa_sample_A111.csv,construction_cost_knowledge_engine/data/private/reference_extraction/runs/MAP_A111_manual_QA_pack/manual_qa_sample_A111.csv,true,29781,40,dc34f64416b381e102827b6f3bf190ffa28556d3f719b47e8dde9d5063eecc8f,2026-07-05T21:49:36,quota_to_bill_mapping_A111_candidate.csv,true,true,construction_cost_knowledge_engine/data/private/reference_extraction/backups/runs_backup_after_MAP_A111_QA1,manual_qa_pack_generated,manual QA artifact; pending human review; no approved output
